나는 새학기 첫날,처음 보는 아이들과 어색하지만 그래도 쉽게 말을 걸며 친해질 수 있다.,아니 싫어 내가 먼저 말걸기 힘들다. 마음이 매우 불편하다.,1,2
나의 친구관계는,나와 다른 친구와도 친구를 할 수 있으며 다양한 친구들과 노는 것이 재미있다.,친구를 쉽게 사귀는 편은 아니며 몇몇 친한 친구들과 아주 친하게 지낸다.,1,2
선생님이 심부름할 친구를 찾을 때,심부름 하면서 다른 반에 가는게 너무 신나서 적극적으로 손을 들고 지원한다.,나를 안 시켰으면 좋겠다. 우리반이 아닌 곳에 가서 다른 반친구들이 보는데서 다른 선생님께 말씀을 드려야하는 미션을 수행하는 것이 힘들다",1,2
나는 자유시간이 되었을 때,당연히 밖에 나가서 피구한판! ,교실에서 하고 싶은거 하게 해주면 좋겠다.,1,2
나는 내 의견이나 감정을새로운 유행이 시작될 때,누구보다 빠르게 다른 친구들보다 먼저 시도해보는 편이다.,먼저 신중히 생각한 다음 행동하는 편이다.,1,2
나는 새로운 물건을 받으면,일단 직접 만지며 써본다,다른 사람한테 물어본다,3,4
나는 여러 나라의 음식이 있을 때,알고 있는 음식만 먹는다,하나씩 다 먹어본다 ,3,4
모둠끼리 역할극을 만들 때 나는 ,소품을 만드는 것을 좋아한다,대본을 쓰는 것을 좋아한다,3,4
내가 자주하는 말은 ,진짜? 정말?,만약에~,3,4
학기 초에 우리 반 친구들을 ,잘 외운다 ,외우기 어렵다 ,3,4
친구가 "나 힘들게 돈모아서 아이패드 샀어."라고 했을 때 머릿속에 떠오른 나의 대답은,오~ 아이패드! 최신형인가?,아이패드 비쌌을 텐데.. 돈 모으느라 힘들었겠다!,5,6
친구가 잘못된 행동을 하는 것을 보았을 때,그 행동은 잘못된 것이라고 솔직하게 말해준다.,잘못을 말해주면 친구와 사이가 멀어질까봐 말할까 말까 걱정한다.,5,6
좋아하는 선생님께서 나를 혼내셨을 때,내가 무슨 잘못을 했는지 먼저 생각해보고 반성한다.,너무 섭섭해서 눈물이 난다.,5,6
피구를 하기 전에 친구가 규칙을 바꿔보자고 한다.,왜? 라고 질문하면서 먼저 이유를 물어본 다음 결정한다.,친구의 생각을 따라 규칙을 바꾸자고 한다.,5,6
나는 선생님이나 친구들에게,똑똑하고 항상 바른 행동을 하는 사람으로 인정받고 싶다.,마음씨가 따뜻하고 친구의 말을 잘 들어주는 사람으로 인정받고 싶다.,5,6
방학이 오면 나는?,방학 계획표를 세우고 방학 숙제를 날짜를 나누어 해결한다.,방학이 왜 방학인가? 숙제는 몰아서 한번에!,7,8
모처럼 주말을 맞아 친구들 2명과 함께 영화를 보고 떡볶이를 사먹기로 하였다. 친구들과 함께 즐겁게 영화관에 갔더니 코로나-19로 영화관이 문을 닫은 것이다. 이럴때 나는?,미리 계획한 영화를 보지 못해 스트레스를 받아 짜증을 낸다.,영화관이 닫았으니 친구들과 놀만한 다른일을 찾아본다.,7,8
평소 집에 있는 내 책상은?,깔끔하게 정리정돈! 사용한 물건은 항상 제자리에!,어제 본 책도 책상위에 오늘 본 책은 어제 본 책 위에!,7,8
수학 학원이 끝난 후 태권도를 가는길 편의점 앞에 사람들이 모여서 웅성웅성.. 무슨일이 있나보다. 이럴 때 나는?,무슨 일이 있는가보네? 하면서 태권도로 간다.,무슨 일이지? 궁금한건 참을 수 없지 편의점으로 가본다.,7,8
새학기가 시작되어 등교하는 첫날! 내 가방에는?,첫날 필요한 교과서와 공책 필기도구를 챙겨놓았다.,뭐가 필요한지 모르겠다. 연필만 가져가면 되겠지?,7,8